date,platform,content
2024-11-01,Autohome,P7+的空间利用率真的是惊喜，后排坐三个成年人完全不挤，比我的老Model 3宽敞太多了。
2024-11-02,Dongchedi,提车一周，续航非常扎实，城区跑能做到1:1，小鹏的三电技术确实是护城河。
2024-11-03,Weibo,MONA M03这车颜值长在我的审美上，掀背尾门很帅，但是内饰的塑料感确实有点强，毕竟价格摆在这。
2024-11-05,Autohome,高速NGP简直是长途神器，变道超车很果断，基本上不需要我自己接管，省力太多。
2024-11-06,XiaoHongShu,吐槽一下隔音，时速上到100以后胎噪和风噪都很明显，希望能通过OTA优化一下主动降噪？
2024-11-08,Dongchedi,底盘调教偏舒适，过减速带很柔韧，不像以前的小鹏那么硬了，适合家用。
2024-11-09,Autohome,自动泊车对于新手太友好了，那种很窄的机械车位都能停进去，每次看它自己动方向盘都很治愈。
2024-11-12,Weibo,销售服务态度挺好的，但是交付中心人太多了，排队交车等了一下午，效率有待提高。
2024-11-15,Dongchedi,车漆感觉有点薄，前两天跑高速被石子崩了一下就漏底漆了，建议大家贴个车衣。
2024-11-18,Autohome,车机系统极其流畅，8295芯片确实快，语音助手小P基本上可以说是“可见即可说”。
2024-11-20,Weibo,MONA的后扭力梁悬挂确实不如独立悬挂，走烂路的时候后排有点颠。
2024-11-22,Dongchedi,性价比无敌，这个价格能买到这种空间和智驾，还要什么自行车？P7+不仅是轿跑更是家用好手。
2024-11-25,XiaoHongShu,新车味道还是散得不够快，暴晒了三天还是有一股皮革味，家里有宝宝的要注意。
2024-11-28,Autohome,充电速度飞快，在S4超充桩上基本上去上个厕所回来就充得差不多了，没有续航焦虑。
2024-12-01,Weibo,外观设计很大气，但是那个分体式大灯的设计我还是欣赏不来，感觉有点怪。
2024-12-05,Dongchedi,作为老车主置换，感觉小鹏的服务确实在变好，售后响应速度比以前快多了。
2024-12-08,Autohome,全景天幕虽然很帅，但是夏天真的很晒，建议官方商城赶紧出个遮阳帘。
2024-12-10,XiaoHongShu,智能座舱的体验感拉满，可以在车里打游戏看电影，简直是午休神器。
2024-12-12,Dongchedi,方向盘的手感比较轻盈，指向性还算精准，女生开也没压力。
2024-12-15,Weibo,虽然是纯电，但是电门的调教很像油车，不会有一窜一窜的感觉，晕车的人坐着也还行。